,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
36,274.0,ACE 종합채권(AA-이상)KIS액티브,100185.0,320.0,+0.32%,0.0,7804.0,7790.0,0.0,1748.0,,,
37,275.0,명신산업,14770.0,290.0,-1.93%,500.0,7750.0,52470.0,6.98,108269.0,5.08,33.22,
41,276.0,NHN,22850.0,150.0,+0.66%,500.0,7716.0,33766.0,11.45,38958.0,-94.03,-0.51,
42,277.0,TIGER 200 IT,34575.0,235.0,-0.68%,0.0,7710.0,22300.0,0.08,23657.0,,,
43,278.0,ACE 미국나스닥100,19315.0,455.0,+2.41%,0.0,7687.0,39800.0,0.0,183224.0,,,
44,279.0,KODEX 미국나스닥100TR,16765.0,405.0,+2.48%,0.0,7687.0,45850.0,0.06,398865.0,,,
45,280.0,TIGER 24-10 회사채(A+이상)액티브,54735.0,20.0,+0.04%,0.0,7672.0,14016.0,0.0,71912.0,,,
49,281.0,후성,8000.0,80.0,-0.99%,500.0,7548.0,94352.0,7.05,470204.0,-14.44,-15.89,
50,282.0,SOL 종합채권(AA-이상)액티브,106140.0,300.0,+0.28%,0.0,7532.0,7096.0,0.0,396.0,,,
51,283.0,아이에스동서,24950.0,150.0,-0.60%,500.0,7532.0,30187.0,6.33,47358.0,4.78,10.9,
52,284.0,DS단석,128400.0,2100.0,-1.61%,500.0,7526.0,5861.0,3.77,36959.0,16.14,19.2,
53,285.0,흥아해운,3130.0,600.0,-16.09%,500.0,7525.0,240425.0,6.73,23936603.0,22.04,23.02,
57,286.0,녹십자홀딩스,15970.0,370.0,+2.37%,500.0,7510.0,47028.0,8.09,42940.0,-14.61,-5.37,
58,287.0,OCI,83200.0,500.0,+0.60%,5000.0,7480.0,8991.0,8.46,9096.0,7.92,,
59,288.0,대신증권,14720.0,310.0,-2.06%,5000.0,7474.0,50773.0,11.07,95618.0,9.56,4.69,
60,289.0,KODEX 인버스,4185.0,45.0,+1.09%,0.0,7458.0,178200.0,1.1,23660789.0,,,
61,290.0,LG전자우,43300.0,800.0,-1.81%,5000.0,7442.0,17186.0,41.28,44243.0,10.98,,
65,291.0,동아쏘시오홀딩스,115500.0,3500.0,-2.94%,5000.0,7333.0,6349.0,15.21,4110.0,12.65,5.82,
66,292.0,삼성화재우,229500.0,1000.0,-0.43%,500.0,7326.0,3192.0,29.37,16677.0,6.38,,
67,293.0,롯데관광개발,9590.0,220.0,-2.24%,500.0,7305.0,76171.0,4.65,580791.0,-3.52,-132.87,
68,294.0,QV KIS CD금리투자 ETN,51955.0,0.0,0.00%,0.0,7274.0,14000.0,0.0,0.0,,,
69,295.0,신풍제약,13700.0,450.0,+3.40%,500.0,7259.0,52985.0,7.4,751954.0,-13.19,-19.13,
73,296.0,삼성 레버리지 WTI원유 선물 ETN,1791.0,4.0,+0.22%,0.0,7236.0,404000.0,0.0,262384.0,,,
74,297.0,현대홈쇼핑,59900.0,200.0,-0.33%,5000.0,7188.0,12000.0,24.15,72735.0,5.28,6.78,
75,298.0,KODEX 단기채권,109285.0,25.0,+0.02%,0.0,7175.0,6565.0,0.07,22004.0,,,
76,299.0,TIGER Fn반도체TOP10,13640.0,75.0,+0.55%,0.0,7147.0,52400.0,0.07,3547591.0,,,
77,300.0,미원에스씨,142900.0,100.0,-0.07%,500.0,7145.0,5000.0,0.47,1202.0,38.82,4.95,
1,301.0,태광산업,640000.0,18000.0,-2.74%,5000.0,7126.0,1113.0,5.7,1045.0,-38.51,-0.46,
2,302.0,JW중외제약,30550.0,50.0,+0.16%,2500.0,7114.0,23286.0,9.59,47460.0,20.56,14.63,
3,303.0,KODEX 반도체,43210.0,270.0,+0.63%,0.0,7043.0,16300.0,0.13,455705.0,,,
4,304.0,진에어,13480.0,520.0,-3.71%,1000.0,7037.0,52200.0,3.88,175854.0,5.26,112.52,
5,305.0,동원F&B,36200.0,300.0,-0.82%,1000.0,6985.0,19296.0,8.03,33032.0,6.42,11.72,
9,306.0,TIGER 2차전지소재Fn,7160.0,120.0,-1.65%,0.0,6985.0,97550.0,0.2,817660.0,,,
10,307.0,CJ CGV,5670.0,30.0,+0.53%,500.0,6942.0,122432.0,6.74,434108.0,-4.76,-24.12,
11,308.0,현대지에프홀딩스,4445.0,5.0,-0.11%,500.0,6930.0,155904.0,4.01,131277.0,0.4,49.81,
12,309.0,KG스틸,6850.0,70.0,-1.01%,5000.0,6851.0,100009.0,5.51,186656.0,2.92,13.09,
13,310.0,대상,19580.0,360.0,-1.81%,1000.0,6784.0,34648.0,15.83,74328.0,10.52,5.11,
17,311.0,DI동일,27000.0,0.0,0.00%,500.0,6679.0,24739.0,3.93,49042.0,221.31,0.55,
18,312.0,드림텍,9690.0,50.0,-0.51%,100.0,6672.0,68852.0,57.96,302213.0,42.69,3.74,
19,313.0,KOSEF 200TR,46550.0,440.0,-0.94%,0.0,6610.0,14200.0,0.0,21916.0,,,
20,314.0,TIGER 단기통안채,106610.0,20.0,-0.02%,0.0,6566.0,6159.0,1.93,7856.0,,,
21,315.0,SNT모티브,44800.0,800.0,-1.75%,5000.0,6551.0,14623.0,17.79,29802.0,7.53,9.55,
